"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","19","Runs Cucumber Scenarios","Suite","Wed Jan 01 06:41:24 GMT 2025","broken","Wed Jan 01 06:41:24 GMT 2025","runner.TestRunner","Cucumber with TestNG Test","runner.TestRunner","runScenario"
"","6142","Runs Cucumber Scenarios","Suite","Wed Jan 01 06:43:51 GMT 2025","passed","Wed Jan 01 06:43:57 GMT 2025","runner.TestRunner","Cucumber with TestNG Test","runner.TestRunner","runScenario"
"","31","Runs Cucumber Scenarios","Suite","Wed Jan 01 06:41:24 GMT 2025","broken","Wed Jan 01 06:41:24 GMT 2025","runner.TestRunner","Cucumber with TestNG Test","runner.TestRunner","runScenario"
"","1052","Runs Cucumber Scenarios","Suite","Wed Jan 01 06:41:22 GMT 2025","broken","Wed Jan 01 06:41:24 GMT 2025","runner.TestRunner","Cucumber with TestNG Test","runner.TestRunner","runScenario"
"","5344","Runs Cucumber Scenarios","Suite","Wed Jan 01 06:43:46 GMT 2025","passed","Wed Jan 01 06:43:51 GMT 2025","runner.TestRunner","Cucumber with TestNG Test","runner.TestRunner","runScenario"
"","14117","Runs Cucumber Scenarios","Suite","Wed Jan 01 06:42:31 GMT 2025","broken","Wed Jan 01 06:42:45 GMT 2025","runner.TestRunner","Cucumber with TestNG Test","runner.TestRunner","runScenario"
"","19","Runs Cucumber Scenarios","Suite","Wed Jan 01 06:42:02 GMT 2025","broken","Wed Jan 01 06:42:02 GMT 2025","runner.TestRunner","Cucumber with TestNG Test","runner.TestRunner","runScenario"
"","30","Runs Cucumber Scenarios","Suite","Wed Jan 01 06:41:24 GMT 2025","broken","Wed Jan 01 06:41:24 GMT 2025","runner.TestRunner","Cucumber with TestNG Test","runner.TestRunner","runScenario"
"","17","Runs Cucumber Scenarios","Suite","Wed Jan 01 06:41:24 GMT 2025","broken","Wed Jan 01 06:41:24 GMT 2025","runner.TestRunner","Cucumber with TestNG Test","runner.TestRunner","runScenario"
"","22","Runs Cucumber Scenarios","Suite","Wed Jan 01 06:41:24 GMT 2025","broken","Wed Jan 01 06:41:24 GMT 2025","runner.TestRunner","Cucumber with TestNG Test","runner.TestRunner","runScenario"
