"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","18572","Runs Cucumber Scenarios","Command line suite","Thu Jan 02 10:04:43 GMT 2025","broken","Thu Jan 02 10:05:01 GMT 2025","runner.TestRunnerUI","Command line test","runner.TestRunnerUI","runScenario"
"","2002","Runs Cucumber Scenarios","Command line suite","Thu Jan 02 10:04:39 GMT 2025","passed","Thu Jan 02 10:04:41 GMT 2025","runner.TestRunnerAPI","Command line test","runner.TestRunnerAPI","runScenario"
"","1436","Runs Cucumber Scenarios","Command line suite","Thu Jan 02 10:04:25 GMT 2025","failed","Thu Jan 02 10:04:26 GMT 2025","runner.TestRunnerAPI","Command line test","runner.TestRunnerAPI","runScenario"
"","1979","Runs Cucumber Scenarios","Command line suite","Thu Jan 02 10:04:29 GMT 2025","passed","Thu Jan 02 10:04:31 GMT 2025","runner.TestRunnerAPI","Command line test","runner.TestRunnerAPI","runScenario"
"","7950","Runs Cucumber Scenarios","Command line suite","Thu Jan 02 10:05:16 GMT 2025","passed","Thu Jan 02 10:05:24 GMT 2025","runner.TestRunnerUI","Command line test","runner.TestRunnerUI","runScenario"
"","424","Runs Cucumber Scenarios","Command line suite","Thu Jan 02 10:04:21 GMT 2025","failed","Thu Jan 02 10:04:22 GMT 2025","runner.TestRunnerAPI","Command line test","runner.TestRunnerAPI","runScenario"
"","6786","Runs Cucumber Scenarios","Command line suite","Thu Jan 02 10:06:42 GMT 2025","passed","Thu Jan 02 10:06:48 GMT 2025","runner.TestRunnerUI","Command line test","runner.TestRunnerUI","runScenario"
"","423","Runs Cucumber Scenarios","Command line suite","Thu Jan 02 10:04:34 GMT 2025","passed","Thu Jan 02 10:04:34 GMT 2025","runner.TestRunnerAPI","Command line test","runner.TestRunnerAPI","runScenario"
"","1071","Runs Cucumber Scenarios","Command line suite","Thu Jan 02 10:04:32 GMT 2025","passed","Thu Jan 02 10:04:34 GMT 2025","runner.TestRunnerAPI","Command line test","runner.TestRunnerAPI","runScenario"
"","880","Runs Cucumber Scenarios","Command line suite","Thu Jan 02 10:04:36 GMT 2025","passed","Thu Jan 02 10:04:37 GMT 2025","runner.TestRunnerAPI","Command line test","runner.TestRunnerAPI","runScenario"
"","409","Runs Cucumber Scenarios","Command line suite","Thu Jan 02 10:04:34 GMT 2025","broken","Thu Jan 02 10:04:34 GMT 2025","runner.TestRunnerAPI","Command line test","runner.TestRunnerAPI","runScenario"
"","5587","Runs Cucumber Scenarios","Command line suite","Thu Jan 02 10:06:48 GMT 2025","passed","Thu Jan 02 10:06:54 GMT 2025","runner.TestRunnerUI","Command line test","runner.TestRunnerUI","runScenario"
"","17287","Runs Cucumber Scenarios","Command line suite","Thu Jan 02 10:06:02 GMT 2025","broken","Thu Jan 02 10:06:19 GMT 2025","runner.TestRunnerUI","Command line test","runner.TestRunnerUI","runScenario"
"","1509","Runs Cucumber Scenarios","Command line suite","Thu Jan 02 10:04:31 GMT 2025","passed","Thu Jan 02 10:04:32 GMT 2025","runner.TestRunnerAPI","Command line test","runner.TestRunnerAPI","runScenario"
"","435","Runs Cucumber Scenarios","Command line suite","Thu Jan 02 10:04:23 GMT 2025","failed","Thu Jan 02 10:04:23 GMT 2025","runner.TestRunnerAPI","Command line test","runner.TestRunnerAPI","runScenario"
"","458","Runs Cucumber Scenarios","Command line suite","Thu Jan 02 10:04:21 GMT 2025","passed","Thu Jan 02 10:04:21 GMT 2025","runner.TestRunnerAPI","Command line test","runner.TestRunnerAPI","runScenario"
